hash,name,rank,category,stern,ear,bow,mask,fx,isCustom,isUltimate
AA1ESVCvxFteYLcrkM659JGVe1JVMjP91426EB3cvsnA,POPHEADZ #16,4777,Aquatics,AnglerFish-Pristine,PointyFrog-Crimson,Tadpole-Mecha,Tadpole-Woodland,None,False,False
9XnoLKAuEDd2wgLnCfvjwgsjPQn7Ei3k9Ggq8jsYeA3B,POPHEADZ #17,3940,Aquatics,TreeFrog-Badlands,Turtle-Jetstream,PufferFish-Deepsea,AnglerFish-Demonic,None,False,False
CpoZUox5iHoLrZzUa21RBy52xUpJ4SCsszsM8dRxwdZN,POPHEADZ #18,3938,Aquatics,AnglerFish-Pristine,AnglerFish-Toxic,Fish-Deepsea,TreeFrog-Jungle,None,False,False
5i5JdckKn9KhEo4SFQrQ5upyudxKuZbUffV3pMHo5J4q,POPHEADZ #19,4889,Aquatics,Snake-Magma,TreeFrog-Jungle,Tadpole-Woodland,PufferFish-Crimson,None,False,False
CJWS5NAEJ7MXf4xTEbTcJYGHEHyh98dF1tM4Stciv7sf,POPHEADZ #20,4344,Aquatics,Gecko-Atlantic,Gator-Jetstream,AnglerFish-Catalina,Koi-Coral,None,False,False
4kBrp7Gkimwd7SmAxQMM2cFKbJvhBvcY1Z5q36yKuHLF,POPHEADZ #21,4679,Aquatics,Snake-Magma,Gator-Green,Turtle-Ancient,PointyFrog-Galapagos,None,False,False
GdCYS3s1MEgd6t2BfsZH6waDQR1WGF5EaFLnrQ9mjh7j,POPHEADZ #22,5433,Aquatics,Nautilus-Deepsea,Koi-Atlantic,PointyFrog-Green,PufferFish-Gumdrops,None,False,False
861BFDbiELQX9MuV9LEwvPZ5Dc6qQRXn7eekhahNwxrK,POPHEADZ #23,4640,Aquatics,Dolphin-Cobalt,Snake-Magma,Tadpole-Mecha,Koi-Jetstream,None,False,False
GpfxvbZmC3FBcWZF4vN1hxKgCzxYyhN1n28V1Zc2XpDs,POPHEADZ #24,4767,Aquatics,Tadpole-Jetstream,Crab-Jungle,Fish-Jetstream,Axolotl-Friendly,None,False,False
4DnR7Uwb872pydVeFDxfL9TyuLpjeZtUdAAzEwgmAXyR,POPHEADZ #25,4120,Aquatics,PointyFrog-Badlands,PointyFrog-Green,Snake-Magma,TreeFrog-Jungle,None,False,False
Fywmzs9vmBdJBaVMgEEugLnXS4UvUoD1GEQSmsEbFm7W,POPHEADZ #26,4766,Aquatics,PointyFrog-Neon,TreeFrog-Badlands,PufferFish-Gumdrops,Dolphin-Deepsea,None,False,False
94LEHxZjAyYQoFUzuMNZ566N1KnennCMC4dCRkc94WrT,POPHEADZ #27,4182,Aquatics,Snake-Galapagos,Gator-Green,Gecko-Atlantic,Fish-Jetstream,None,False,False
HLVZYSofbxjPdgTkeL8HAmqkYpUPmPYFKrnpDrB9x8gF,POPHEADZ #28,4711,Aquatics,Axolotl-Woodland,Crab-Atlantic,AnglerFish-Coral,PufferFish-Crimson,None,False,False
CYoKrYchWFMqLF8acBUuA8agSoPxz4JPfvBUFoaujuFx,POPHEADZ #29,3954,Aquatics,Gecko-Neon,Axolotl-Jungle,Snake-Galapagos,Turtle-Ancient,None,False,False
8cx3mYAVi4VFmBQf1efYUbkgfphRtd2RfdV5NA9Ev58P,POPHEADZ #30,3928,Aquatics,Axolotl-Friendly,TreeFrog-Ultraviolet,Gator-Crimson,Gecko-Magma,None,False,False
CbvAZBnVL5wunSL1xr2XpYpDJviq4SqMcDkPVmXdGxRi,POPHEADZ #31,4089,Aquatics,Nautilus-Ancient,Tadpole-Magma,Gator-Jetstream,Nautilus-Deepsea,None,False,False
BBUoqzxun7aPUCSKpU2bivscSKXFEz4KHWVBnBPH1oxB,POPHEADZ #32,4442,Aquatics,Gator-Crimson,Dolphin-Cobalt,Koi-Ultraviolet,Nautilus-Caribbean,None,False,False
BaNnfzc57E2VrCWDqzvRg2bBKUidseLVvaU6AMpVz8GU,POPHEADZ #33,5559,Aquatics,Gecko-Venomous,Turtle-Caribbean,Dolphin-Cobalt,Dolphin-Friendly,None,False,False
44Tinxayk2h1RHt9f2rqCEdacVTjnmJ4YBawJCcaHcUc,POPHEADZ #34,4234,Aquatics,Nautilus-Caribbean,Dolphin-Atlantic,Dolphin-Jetstream,PointyFrog-Galapagos,None,False,False
DGocWbSci2MzggqQx6YZaMMz8ZNVM3U23fBmyAoa5XQg,POPHEADZ #35,4451,Aquatics,Koi-Coral,Axolotl-Jungle,Fish-Jetstream,Dolphin-Jetstream,None,False,False
9KqgQgk6Ti8vVRfa7AtfDh3SiCs2itD2DWwDTXqV41qm,POPHEADZ #36,4586,Aquatics,Turtle-Tiki,Tadpole-Magma,Koi-Equatorial,Koi-Coral,None,False,False
F91zZM9gK87DWyUagRKB8xfyLfEyXsaCvnpXtpjgMohh,POPHEADZ #37,4005,Aquatics,Snake-Jungle,Crab-Seaside,Snake-Ultraviolet,Fish-Friendly,None,False,False
2JiWmzYmni834PiMFMj1HCnuDJYayyi1tGneLvxtNrwU,POPHEADZ #38,3962,Aquatics,Nautilus-Deepsea,Snake-Galapagos,Dolphin-Friendly,Tadpole-Magma,None,False,False
77XSmAkWJufu8Jcq55fuYJDML7g4YisJCWTBGU7sbe7L,POPHEADZ #39,4086,Aquatics,TreeFrog-Badlands,Turtle-Jetstream,Tadpole-Magma,Turtle-Caribbean,None,False,False
GgBC5G1fZP3tWSvGaDVKvfyDKuneu1BPkxFrWbAAkrpb,POPHEADZ #40,4246,Aquatics,Gecko-Atlantic,Crab-Atlantic,Turtle-Woodland,PointyFrog-Neon,None,False,False
DQpiyyRH7Uq4pDSUq7ouS81xBR5YjhjcXWDq7pNRgcu8,POPHEADZ #41,4081,Aquatics,TreeFrog-Badlands,PointyFrog-Neon,AnglerFish-Catalina,Gator-Green,None,False,False
FfzjXpWqXNkMaAC8GNDLb1coh1egAgos9QSwLGFYxFQT,POPHEADZ #42,4524,Aquatics,PointyFrog-Green,TreeFrog-Badlands,Koi-Ultraviolet,Fish-Deepsea,None,False,False
Fi3YqwxFTDYtPSRZACiPExi2CbdPxvPGW24tSGH76Dax,POPHEADZ #43,4708,Aquatics,TreeFrog-Jetstream,Dolphin-Cobalt,Tadpole-Jetstream,Dolphin-Friendly,None,False,False
H37W3QGv8kPFkfFcqv22mP1fbnCoUEeCY5dhcKQyznp9,POPHEADZ #44,4199,Aquatics,Crab-Toxic,Nautilus-Ancient,PointyFrog-Crimson,TreeFrog-Badlands,None,False,False
P2c9zRiGhSqMxA7vtAKoqTwrHzTdfn2NNSq3cb9qgq6,POPHEADZ #45,5378,Aquatics,Crab-Toxic,PufferFish-Gumdrops,Crab-Jungle,Koi-Equatorial,None,False,False
6qpnR5uXhQ9DHJMyv6KgyBqEDiDNm6q8XfMfuxAAbTUr,POPHEADZ #46,4047,Aquatics,Snake-Ultraviolet,Crab-Crimson,Dolphin-Friendly,TreeFrog-Equatorial,None,False,False
Ka2ikzetNeBpe6qFTAZo4Es4JM52Bxz3MSne8rXz11n,POPHEADZ #47,4751,Aquatics,Snake-Galapagos,Gator-DeathRoll,Crab-Seaside,Dolphin-Grey,None,False,False
GgYLQyA3XDT1yJWBgBcB7rhwuyjK4pXmEjkf41sXHUCj,POPHEADZ #48,4024,Aquatics,Crab-Crimson,Nautilus-Deepsea,PointyFrog-Green,Nautilus-Caribbean,None,False,False
3DqcQgtx1SEaWKdJ5Wte6sqpy2VgvPthrVW8FBiFzwAp,POPHEADZ #49,3948,Aquatics,Axolotl-Crimson,Crab-Crimson,Nautilus-Ancient,Dolphin-Atlantic,None,False,False
5NhfAQTVoMGqtVWzdbNKnYR7DCW92CwUhgfP3UU3kjxr,POPHEADZ #50,4721,Aquatics,PointyFrog-Neon,Fish-Atlantic,Gecko-Neon,Gator-Green,None,False,False
7ws1gSe1WuoeXhEKcFe4SPkuP7X3FY7ULRHVpqyUJjAj,POPHEADZ #51,4219,Aquatics,Tadpole-Toxic,Fish-Jungle,Dolphin-Deepsea,PufferFish-Deepsea,None,False,False
2GyzfDspsFkvjHRuNzg9AfgxEDwFgCLGpoPTrTc3GeC6,POPHEADZ #52,4162,Aquatics,Koi-Atlantic,AnglerFish-Toxic,Koi-Ultraviolet,Tadpole-Magma,None,False,False
BSHVjwuwndxpD9ZnERamZmGBUBAc1zrLfvHsfz8xHENP,POPHEADZ #53,4324,Aquatics,Gator-Jetstream,Fish-Friendly,AnglerFish-Demonic,Gator-Green,None,False,False
7j7PMDaonuuYTLfzDQTcmut1Sw8SAWQ1JGN6NobMf3Lx,POPHEADZ #54,4525,Aquatics,Koi-Coral,Koi-Ultraviolet,AnglerFish-Coral,Gator-Green,None,False,False
DEpWZ5zYapMwhLqsbWJf8pfav4CyzjggZvTE1fUZsYpt,POPHEADZ #55,3945,Aquatics,Turtle-Ancient,Dolphin-Cobalt,Crab-Seaside,PointyFrog-Neon,None,False,False
6tx1edfQ83qeXYAyW2dWdud5JZojCY9AYJwvtiH29bp2,POPHEADZ #56,4232,Aquatics,Dolphin-Cobalt,Snake-Ultraviolet,Koi-Atlantic,PufferFish-Atlantic,None,False,False
At6p16M4hEEzjoAU7YtTaGoGRz7kimfgbfmMEvjZ31hr,POPHEADZ #57,5057,Aquatics,Nautilus-Deepsea,PufferFish-Gumdrops,Axolotl-Jungle,Crab-Atlantic,None,False,False
CFrp6SsWTLkjMu1BvdXADaHgYwYi8shyRaFHYadWRcKU,POPHEADZ #58,4589,Aquatics,Dolphin-Cobalt,AnglerFish-Coral,Axolotl-Toxic,Nautilus-Coral,None,False,False
5T2izzTX4JXFsQgvB9YNDaeZ5LckNdgErFj86gSV7dYq,POPHEADZ #59,4067,Aquatics,Dolphin-Atlantic,Axolotl-Woodland,Turtle-Caribbean,Gecko-Neon,None,False,False
3iqhQrYTFq6cEo7Me5wR2ho91vqVPXM8LUB2azc1c9zu,POPHEADZ #60,4060,Aquatics,AnglerFish-Demonic,PufferFish-Deepsea,Tadpole-Mecha,AnglerFish-Coral,None,False,False
CrgeQmyt9DDXkSRVHyvpsJYjASDNdNP5NutqWY4HSmR,POPHEADZ #61,3994,Aquatics,Axolotl-Toxic,Turtle-Tiki,Gator-Woodland,Crab-Atlantic,None,False,False
b7LR6Nv1wGnmbwERhD4J2n3Be8XxkMLwWxgf2K5LpNV,POPHEADZ #62,4693,Aquatics,PointyFrog-Green,PufferFish-Crimson,Crab-Jungle,Snake-Galapagos,None,False,False
3MrACMC5m56jB9VyMCBg8Ah2niBDCMuSCRDUsxmPHEVu,POPHEADZ #63,4080,Aquatics,Turtle-Woodland,Tadpole-Woodland,Gator-Crimson,TreeFrog-Jetstream,None,False,False
H9QFuVCYYixzANkCCEtJeVVggdq2PpLAU3M9Ak5m6U7v,POPHEADZ #64,4333,Aquatics,Fish-Jetstream,Nautilus-Deepsea,Snake-Medusa,Gator-DeathRoll,None,False,False
BKzw2vh8JefYn7iH5JiJV3PdH3RXiiV8p3HsjbiveN4z,POPHEADZ #65,4264,Aquatics,Koi-Atlantic,TreeFrog-Jetstream,PointyFrog-Crimson,Snake-Ultraviolet,None,False,False
CUS7WaMhY934wcJa4iUsZ8hmAYGdwwQLGgDqpw74YM1k,POPHEADZ #66,4165,Aquatics,PufferFish-Gumdrops,Turtle-Ancient,Gator-Green,AnglerFish-Catalina,None,False,False
EjB2tHDJJAv8T4AbvLvjJAtyaPU9dzw9RQcm65pGBKVQ,POPHEADZ #67,4510,Aquatics,TreeFrog-Jungle,Dolphin-Jetstream,PointyFrog-Neon,Gecko-Neon,None,False,False
ETLhqrEHVa8mdqjtTUMVXV5HLGNBXmdrEPrnpcSvDKW1,POPHEADZ #68,4176,Aquatics,Gator-Green,Gecko-Neon,TreeFrog-Jetstream,Crab-Seaside,None,False,False
Pdd6rSUTcVmQw5hc4EhitVE3LQadouyc1ts3GfUZwEw,POPHEADZ #69,4058,Aquatics,TreeFrog-Equatorial,Nautilus-Deepsea,Gecko-Magma,PointyFrog-Galapagos,None,False,False
Hdf3x5L32dojiBd6Q6beLihBs1DZnzPpor3e9X5zDcNV,POPHEADZ #70,4070,Aquatics,Nautilus-Ancient,Turtle-Woodland,PointyFrog-Green,Dolphin-Atlantic,None,False,False
8f9JbPZArcDDzSJUwTCDuU4w3AyStpCn5R3hqL5TF3Gq,POPHEADZ #71,4160,Aquatics,PointyFrog-Green,PointyFrog-Badlands,Gecko-Atlantic,Crab-Crimson,None,False,False
D3TaZ2pLLDvsayLEQT93kKHBGwDNXyMRZvnmuACLyE51,POPHEADZ #72,4171,Aquatics,Snake-Ultraviolet,Turtle-Woodland,Crab-Atlantic,Turtle-Caribbean,None,False,False
2cnT9coDTKmsktmSLxUPEuG8wSq8FnXkiUikHdX9wYCA,POPHEADZ #73,4906,Aquatics,Snake-Ultraviolet,PufferFish-Gumdrops,PointyFrog-Neon,Koi-Atlantic,None,False,False
DeqzFrgDFkMLavxfNnobPriN9zZPoU1NFSJ1jNM76Gbo,POPHEADZ #74,4113,Aquatics,TreeFrog-Jetstream,Dolphin-Jetstream,Snake-Magma,Gecko-Magma,None,False,False
8cnzijqmP7CVL6nEjZ9UpimSX6NSErtJSSAZjHST8H1X,POPHEADZ #75,4746,Aquatics,Tadpole-Jetstream,TreeFrog-Badlands,Fish-Atlantic,Gecko-Neon,None,False,False
DQW3KzMF3yiMtTF2A2HAouDxMFfAvm8otYGevzu1a9Rf,POPHEADZ #76,4006,Aquatics,AnglerFish-Toxic,Nautilus-Caribbean,Crab-Crimson,Gator-Crimson,None,False,False
HEmTg1hoZenL1MbPLXHJt4MWA83zBw5LE9v9U6xQzKMC,POPHEADZ #77,4669,Aquatics,Gator-Crimson,TreeFrog-Badlands,Gator-DeathRoll,Fish-Friendly,None,False,False
FyhhZWteSuNiU2Ufk4B3DsDmbderb2HwWsTNWYrXJgVX,POPHEADZ #78,4798,Aquatics,Gator-Green,Gecko-Green,AnglerFish-Coral,PufferFish-Atlantic,None,False,False
BYHMpetCf91ANtQuWTkeRqcb4rN5LmSnr98zyuYChUsn,POPHEADZ #79,4420,Aquatics,Koi-Coral,AnglerFish-Demonic,Koi-Jetstream,Dolphin-Grey,None,False,False
BudsbE3835A1rwZPKSKLHbPGAd8z7EaBmMBTeAG9MX6o,POPHEADZ #80,4817,Aquatics,AnglerFish-Pristine,Fish-Jetstream,Nautilus-Deepsea,Tadpole-Woodland,None,False,False
6PgfKJeWCNQxEfjBSAyhsZyacsC6wZER3CryMYe3zfUD,POPHEADZ #81,5279,Aquatics,Tadpole-Mecha,Dolphin-Atlantic,Dolphin-Cobalt,Koi-Atlantic,None,False,False
G3PFusnjKpFSuhnMzZHkDbWBEraY1haBvzfjvg2RyX7X,POPHEADZ #82,4134,Aquatics,Gator-Green,Gecko-Magma,Axolotl-Woodland,Fish-Atlantic,None,False,False
CLqhb9MicCFYEiU2APgyXqN5yEdEKnWr2SXQrZzdxmBx,POPHEADZ #83,4455,Aquatics,Snake-Magma,Turtle-Caribbean,PointyFrog-Badlands,Gator-Woodland,None,False,False
34xvXhHf1bgpGue9szyxyfyfru3LvRZ75bG44DLWVfNX,POPHEADZ #84,4795,Aquatics,Gator-Jetstream,Fish-Jetstream,AnglerFish-Pristine,Crab-Atlantic,None,False,False
AZuUdEUP3acBFZj1Z4Dkpj59Au2pi3e1EJTrSCrCBgWr,POPHEADZ #85,4155,Aquatics,Nautilus-Ancient,Turtle-Woodland,Gator-Woodland,Koi-Atlantic,None,False,False
4TDa3QZ58bbXnRY6s4Y6umWjcyyqBZetjSUtrRCsg6JQ,POPHEADZ #86,4781,Aquatics,Crab-Jungle,Gecko-Magma,AnglerFish-Catalina,Dolphin-Friendly,None,False,False
Hi7s4qiqqihoEUaDJMQkfG9mYGRrbGuczXBQAeMAB8dj,POPHEADZ #87,4816,Aquatics,AnglerFish-Toxic,Koi-Ultraviolet,Crab-Toxic,Tadpole-Woodland,None,False,False
M8n3igLmFodL72BidUnjEk1ffSYN5B2stW1aDj86RMj,POPHEADZ #88,4271,Aquatics,Gator-Jetstream,TreeFrog-Jetstream,Dolphin-Grey,Tadpole-Woodland,None,False,False
FnDQdFkgfR6MoXCpCsdK6wSeWDEDpxpTw3RM71p7TcZB,POPHEADZ #89,4226,Aquatics,Snake-Galapagos,Turtle-Ancient,Dolphin-Atlantic,PufferFish-Crimson,None,False,False
92nj21gbdZi23gu3pPVqpDiySDfRvgqvBMsscXm5kBHS,POPHEADZ #90,3939,Aquatics,TreeFrog-Ultraviolet,Tadpole-Jetstream,Turtle-Caribbean,Fish-Jungle,None,False,False
Bhb1XNz647tiFqnJPnZrmk3BvgRsakEqTECvW6TWoHWw,POPHEADZ #91,4661,Aquatics,Tadpole-Toxic,Gator-Crimson,Turtle-Woodland,Turtle-Tiki,None,False,False
ERAMvcEEQt81PmTin2ZfRmuViRbNycXbM6TvYbQAyaxf,POPHEADZ #92,4250,Aquatics,Turtle-Jetstream,Koi-Atlantic,Koi-Jetstream,PufferFish-Deepsea,None,False,False
BtoUtPz6jpQfFkx4sEgPQkezsDoeWVvS9Th3v5JVNZvz,POPHEADZ #93,4197,Aquatics,Tadpole-Toxic,Tadpole-Magma,PufferFish-Deepsea,Axolotl-Toxic,None,False,False
27MQu84j47kZxFk1xj98nkK25K8EeV9rEUXQqryqTxu2,POPHEADZ #94,4314,Aquatics,Koi-Atlantic,Koi-Jetstream,AnglerFish-Demonic,Fish-Friendly,None,False,False
XYPA6xw6eEZ4Sq7c3k8yt6dFnpuQMYTGQu6h2o7ikgs,POPHEADZ #95,4074,Aquatics,Crab-Crimson,Fish-Atlantic,Nautilus-Ancient,Gator-Jetstream,None,False,False
GAJGkTZEuau5xKgZmH3KxZuEpDdqtK22vmj3E3KQAsis,POPHEADZ #96,4117,Aquatics,Dolphin-Friendly,Gecko-Magma,Fish-Friendly,Tadpole-Jetstream,None,False,False
64EMKHj9hpG1dc1v8nnGzeHcpqMarLoYWNxUHVpW9wMN,POPHEADZ #97,4479,Aquatics,Gator-Crimson,Koi-Jetstream,Dolphin-Jetstream,Snake-Galapagos,None,False,False
AA3VpTAeMXukkGomFKqZSJiZ2szWiJJMouNGgT9NgdR7,POPHEADZ #98,4933,Aquatics,PointyFrog-Badlands,Nautilus-Ancient,Crab-Jungle,Gator-Green,None,False,False
Hxa4LKafc7rrpd9cSzQxGYvpR41ZBjiXnLWQtDDuKHTi,POPHEADZ #99,4211,Aquatics,Tadpole-Mecha,Crab-Jungle,PufferFish-Crimson,Dolphin-Deepsea,None,False,False
465JfTkCKeGwxxCQQtgdsY77oJnnrMhMiQDkNCNXw3At,POPHEADZ #100,4345,Aquatics,Koi-Jetstream,Koi-Ultraviolet,Axolotl-Toxic,Turtle-Woodland,None,False,False
EShgsH37kMYyC6CjbAqPqG5EtqxoHNXWUFTmkMdJ2Us2,POPHEADZ #101,4059,Aquatics,AnglerFish-Toxic,Tadpole-Jetstream,Crab-Toxic,Snake-Ultraviolet,None,False,False
BoMvVEPrkVGrKDk4JTTYMkijfNMVZRhbrsd3Rdsg3mQG,POPHEADZ #102,4108,Aquatics,Turtle-Caribbean,Crab-Atlantic,AnglerFish-Pristine,TreeFrog-Ultraviolet,None,False,False
5LbF3jTdUsF6HH5mzQsNYCZ8FVEwBxdURt4rUovdjLMw,POPHEADZ #103,4723,Aquatics,Nautilus-Coral,Tadpole-Woodland,Tadpole-Magma,Gecko-Green,None,False,False
8TwpcgStCFern5WrG5cxErYAXfGEU8bc136PUpo6fRfb,POPHEADZ #104,5124,Aquatics,PufferFish-Gumdrops,Gecko-Green,Dolphin-Deepsea,PointyFrog-Crimson,None,False,False
BxYMnn4d5gj1HJkxMKdPtMPZsk6QWq6saoZ1PcsuQ4w8,POPHEADZ #105,5071,Aquatics,Tadpole-Toxic,Crab-Atlantic,Snake-Magma,Gator-Jetstream,None,False,False
DYFgtX7A29NvoLjdX5BVksNJL3d5WEKGMdiQTLDwFuuD,POPHEADZ #106,4824,Aquatics,Axolotl-Jungle,Tadpole-Woodland,Gecko-Neon,PointyFrog-Badlands,None,False,False
B8U63BP4thFW9hnyjm8jdt3xq5sf5dUte8FqdguKP6vY,POPHEADZ #107,4161,Aquatics,Dolphin-Atlantic,Dolphin-Jetstream,Fish-Jungle,Tadpole-Magma,None,False,False
9tKg48wBQX1pShai5KqYNNwcSFv7awQC2fj8Go9FnEgW,POPHEADZ #108,4881,Aquatics,Gecko-Venomous,Gator-Jetstream,Axolotl-Crimson,Gecko-Neon,None,False,False
3E3ih8615vnM2YxkuN1kqkUpDE3AtuvDxUuoaxZnQkWH,POPHEADZ #109,4600,Aquatics,Gecko-Venomous,PufferFish-Deepsea,PufferFish-Gumdrops,Nautilus-Coral,None,False,False
3HHLNoUvEqgGJvfk9qy43ECHafgnLKMrPG4iG8qZBUfG,POPHEADZ #110,4130,Aquatics,Crab-Atlantic,Koi-Ultraviolet,TreeFrog-Jungle,Tadpole-Woodland,None,False,False
A2QuWhG1XCDMP9ZMDj2jyWhT73CbKqAqcixc9wd8uMbZ,POPHEADZ #111,3987,Aquatics,Axolotl-Crimson,Gecko-Atlantic,Nautilus-Coral,Dolphin-Deepsea,None,False,False
2Le3nKDDNB1CVJ7W9HveTRDvNV3mK66FuKXX5uXAVD6P,POPHEADZ #112,4400,Aquatics,AnglerFish-Coral,Snake-Ultraviolet,Snake-Magma,Koi-Equatorial,None,False,False
29CEyec82XjNuozHJdvsnC6Uh2FCnmSp9NsbLG1fJEFT,POPHEADZ #113,4698,Aquatics,Axolotl-Jungle,Snake-Ultraviolet,Axolotl-Woodland,PointyFrog-Galapagos,None,False,False
3bS1HHaYPADZQSsMumbs2JyV5NqqWnwB84Ntxrvbr5U2,POPHEADZ #114,4343,Aquatics,TreeFrog-Equatorial,PufferFish-Gumdrops,Axolotl-Toxic,AnglerFish-Toxic,None,False,False
J9nEj43hDdEydyd9fBs9MPfWbzEbpaHrWfxEa5zFxxM2,POPHEADZ #115,5500,Aquatics,Nautilus-Deepsea,PufferFish-Gumdrops,Dolphin-Deepsea,Koi-Atlantic,None,False,False
EE7yaE2Cb5vM1sQbEetLQueyrGdAKtav6YHsmZYvF5xj,POPHEADZ #116,4025,Aquatics,Turtle-Caribbean,Crab-Atlantic,TreeFrog-Jungle,Snake-Jungle,None,False,False
D95AJS4pcQwMmAm1FR95gh2TdPB1PABv2TszHFN7EREy,POPHEADZ #117,4478,Aquatics,Fish-Deepsea,Crab-Jungle,Snake-Ultraviolet,Turtle-Woodland,None,False,False
3ngxXgJgW4kZXUJ3MUhibwS7dzRwPfxQhjg4bzR4NpTk,POPHEADZ #118,3927,Aquatics,PointyFrog-Neon,TreeFrog-Ultraviolet,TreeFrog-Equatorial,Fish-Atlantic,None,False,False
HtPC7ggVAVrXXSZzW81AYVcaXcZC4N1eyk6um2XudiX6,POPHEADZ #119,4194,Aquatics,Snake-Jungle,Dolphin-Jetstream,Crab-Crimson,PointyFrog-Green,None,False,False
4btXjF7e8GvSLu3M7bDYGs5MGNva6SDGpsjM1nrNZaAg,POPHEADZ #120,4263,Aquatics,PointyFrog-Badlands,Nautilus-Coral,Turtle-Jetstream,PointyFrog-Neon,None,False,False
DDzoUtAQ9458b62WVTsGTkSeLn9V2uJDqK8ksW1jcaUu,POPHEADZ #121,4554,Aquatics,Tadpole-Jetstream,Dolphin-Friendly,Axolotl-Jungle,Crab-Seaside,None,False,False
AieVLirHM5MESmAto2mh422DRKRQQb7nkQxzQ2gQaWpM,POPHEADZ #122,4885,Aquatics,Gecko-Venomous,Dolphin-Grey,Nautilus-Coral,Crab-Seaside,None,False,False
9Nm5DJiur3SDk8DDFPZW5mUPfngtA3jc2R16SaiaQmWD,POPHEADZ #123,4163,Aquatics,Crab-Jungle,Axolotl-Crimson,Turtle-Ancient,AnglerFish-Toxic,None,False,False
Deh1CSxLZw1TPgKuBjSDCS2vbRnMygrpvA3LkmX1ccU,POPHEADZ #124,4169,Aquatics,Dolphin-Atlantic,Gecko-Neon,AnglerFish-Pristine,Gator-Crimson,None,False,False
91mb8TEfWMFucHpga8uDzWjzvq8v9VpemZ4QqYiDNMUM,POPHEADZ #125,4904,Aquatics,Axolotl-Jungle,Tadpole-Toxic,Gecko-Neon,Axolotl-Toxic,None,False,False
